,video_id,rating
506,cLdxuaxaQwc,9
507,CzYM4ZpSDJg,16
508,QQVWMp_xgGg,11
509,l864IBj7cgw,14
510,Wb-6fhfAn2I,32
511,sjlHnJvXdQs,23
512,_HTXMhKWqnA,22
513,CcoBJ-dEjGg,2
514,dWWQsXRwHb4,34
515,YSVlSmZWzm0,26
516,DdA7tUIzA5Q,62
517,bUUt0v4ziG4,-6
518,TdH_NL35Nbw,25
519,SjZWJoNYpHI,13
520,8wNr-NQImFg,14
521,TPnuT2TLvLQ,14
522,-s267WkYVoo,29
523,iIYXR4axaJY,44
524,4F2KWDQQMhY,64
525,Xqpf1FxU2q4,39
526,SMinvx9EkPs,10
527,fS5xHHqW-6E,49
528,z5eG8fD-hQw,-4
529,zcqZHYo7ONs,25
530,cMKX2tE5Luk,31
531,zAtHxJvSczA,10
532,FfRGxN2zeWU,58
533,eERPlIdPJtI,66
534,dtqlSPt4z20,9
535,q9o_VjdugHw,-1
536,-Ifnaxi2LQg,15
537,4MkC65emkG4,18
538,5eSSL8hRU_E,8
539,WCYHrvLTaqg,35
540,KEBDxhqhzF0,36
541,1L7JFN7tQLs,23
542,R6ja9qNmOaM,17
543,IYvEhgYy35I,38
544,ZtXkNMbjOEE,27
545,CsdzflTXBVQ,33
546,I1P7GoZcZpU,12
547,6z-X4r5JkyI,51
548,unIkqhB2nA0,2
549,lv5uC6cfO5c,4
550,5fsEPf_Uuao,22
551,ZQK1F0wz6z4,22
552,Q1eQw4ycgQM,3
553,zgLtEob6X-Q,28
554,A0lYm7Qsbak,38
555,Zmi9iQp6944,74
556,_ANP3HR1jsM,16
557,H8t5M9_Tvzk,44
558,Ayb_2qbZHm4,37
559,wfZGngrCpys,23
560,j3MvNvV27hw,79
561,QH0fGSqow3c,5
562,ZCQuasiJgYM,17
563,JhA1Wi9mrns,26
564,w8fAellnPns,13
565,UCrBICYM0yM,19
566,Iq13mG9l6o0,8
567,h_mpwaCJUrY,11
568,T_PuZBdT2iM,12
569,3qVHkOOyD5s,26
570,QBGaO89cBMI,26
571,RsG37JcEQNw,30
572,iptgKv3iApI,15
573,0fsKoK9yLE0,36
574,ql0Op1VcELw,34
575,EuvVOA8uvsc,31
576,4Yue-q9Jdbk,34
577,LcZ2AuvxXNA,33
578,_lGL4Um83LM,10
579,T_t-ByJoDgM,63
580,JO7X9ZPoAp8,12
581,KFUIVfKTeVg,-7
582,SHq2qrFUlGY,18
583,74zJ4scJzNs,-22
584,446dbFQEFJU,9
585,equByOb9j5E,1
586,RJuqdTXhDX4,7
587,etmUU1bs41s,9
588,2y7rk7eHHAM,14
589,368_ovPsJk8,15
590,Zr22PtGd1So,25
591,XvPWUkHjWG0,19
592,6x62O8A8qHw,26
593,0501BTnbrxg,34
594,lno7AN8hLvQ,27
595,a41k9oJN0FI,16
596,3la8bsi4P-c,7
597,RsCsBqIlnHw,46
598,tBN9kLaS-uw,39
599,gIE105f0ejg,11
600,rCo4gIZu0DY,32
601,bxgFjzRW6EA,28
602,30QPEkhcYeQ,-3
603,1u5jO57eD-U,15
604,bvim4rsNHkQ,19
605,krNNMFpA1wY,45
606,AAZbviHZVhE,31
607,w-n3qiLeVqg,-1
608,XSLc0d5aM04,-14
609,nnTcCS07DKQ,4
610,Xul7ku1XxRY,37
611,zKriLekFPwg,48
612,uV002CSNDac,25
613,CYoRmfI0LUc,12
614,4cfL9nTNugM,42
615,FgSSk7xLW9w,21
616,2zISrf-7V3U,55
617,uWFAD84I66I,39
618,FSOxXsYVJMQ,23
619,Uc32z-wgxU4,34
620,RLmqKBRqyA8,30
621,7YAAyUFL1GQ,40
622,fcubmjoGH7I,45
623,Auu9Sxxt5is,3
624,o97_jDomyqc,33
625,xsWO0dRf1p0,45
626,Q07Cp6tswnQ,28
627,uNseVux0CA4,31
628,7bdZn5MKugo,36
629,_5ZrSKpbdSg,38
630,LolP3Y7_Irs,41
631,bUUt0v4ziG4,-6
632,oqmSuPJfvJo,39
633,4Rg-YN7XFcM,11
634,CuXq1hOa8_Y,4
635,scIizw2asro,28
636,MdBu21i9aEE,45
637,EbthMC6spAE,28
638,9HIkG6vMk6E,52
639,4X6a3G_0HjY,-3
640,bvomHFZO0mk,29
641,cNgT8qEQJ3w,6
642,Wb-6fhfAn2I,16
643,F4ELqraXx-U,23
644,cOboLQMO4tQ,-12
645,TngCi2s5rmk,8
646,hMfIIxf8ADo,46
647,WpddITk3bK8,32
648,cxLQAuQsOWI,34
649,CcoBJ-dEjGg,7
650,UqmxHwLI9yg,34
651,0eKdNcP4xrM,28
652,fS5xHHqW-6E,51
653,Zya-JNMJ62k,28
654,gzh6tcMsyoQ,29
